"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Big Cajun 1","LA",97905,0,68
"Big Cajun 2","LA",4766777,11755,2926
"Big Sand Draw Plant","WY",16490,0,392
"Big Sandy","KY",333459,15,473
"Big Sandy Peaker Plant","WV",95887,0,138
"Big Sky Dairy Digester","ID","--",0,125
"Big Stone","SD",2394105,910,953
"Binghamton Cogen","NY",1800,0,1
"BioTown Ag","IN","--",0,792
"Biola University","CA",8820,0,202
"Biomass One LP","OR","--",22,148
"Biomass to Energy Facility, Kauai","HI",157,3,49
"Birchwood Power","VA",553995,241,249
"Bird City","KS",11,0,0
"Biron Mill","WI",278858,527,439
"Black Dog","MN",412975,3,69
"Black Hawk Station","TX",951368,75,454
"Black Mountain Generating Station","AZ",42933,1,32
"Black Oak Power Producers","MO","--",0,225
"Blackburn Landfill Co-Generation","NC","--",0,222
"Blacksand Generating Facility","CA","--",0,58
"Blewett","NC",906,4,9
"Block Island","RI",50,0,1
"Bloomfield","IA",108,0,2
"Blooming Prairie","MN",170,0,3
"Bloomington Power Plant","UT",166,0,3
"Blossburg","PA",1993,0,5
"Blount Street","WI",22338,0,38
"Blue Earth","MN",34,0,1
"Blue Lake","MN",61300,1,26
"Blue Mountain Biogas","UT","--",0,75
"Blue Ridge Generating","KY","--",0,75
"Blue Ridge Landfill","PA","--",0,569
"Blue Spruce Energy Center","CO",136224,0,44
"Blue Valley","MO",14949,0,12
"Blue Water Renewables Inc","MI","--",0,266
"Bluegrass Generating Station","KY",65405,0,38
"Bluffview","NM",154676,1,61
"Blundell","UT",5868,"--","--"
"Blythe Energy Inc","CA",1053993,5,65
"Boise Cascade International Falls","MN",121372,1742,701
"Boise Cascade Pulp & Paper Mill","AL",176820,1440,420
"Bonanza","UT",3414819,813,4579
"Bonanza BioEnergy LLC","KS",51569,0,112
"Borger Plant","TX",8514,8,234
"Bos Dairy, LLC","IN",1503,0,145
"Bosque County Peaking","TX",1559019,8,230
"Bostic Delivery No 2","NC",1,0,0
"Boston Medical Center CHP Plant","MA",7882,0,181
"Boulder Park","WA",23325,0,541
"Boulevard","GA",199,0,1
"Bountiful City","UT",11862,0,35
"Bowater Newsprint Calhoun Operation","TN",115500,2119,17
"Bowen","GA",12447998,9226,6781
"Bowerman Power LFG, LLC","CA","--",1,1707
"Bowline Point","NY",292880,95,295
"Bowling Green","OH",1,0,0
"Bowling Green Generating Station","OH",2638,0,3
"Bowling Green Peaking","OH",1328,0,2
"Boydton Plank Road Cogen Plant","VA",344,1,7
"Bradley Energy Center","CT",12429,0,285
"Brady","NV",2037,"--","--"
"Brame Energy Center","LA",6762568,6389,3957
"Brandon Shores","MD",5007028,3202,1798
"Brandon Station","TX",7168,0,19
"Brandy Branch","FL",1633807,8,159
"Brandywine Power Facility","MD",508266,2,117
"Branford","CT",384,1,1
"Brea Expansion Plant","CA","--",1,149
"Breese","IL",241,0,4
"Bremo Bluff","VA",8763,0,10
"Brent Run Generating Station","MI","--",0,618
"Brentwood","NY",33199,0,3
"Brevard","FL","--",0,438
"Brevig Mission","AK",827,1,17
"Bridge Street 1 & 2","CT",376,1,7
"Bridgeport Energy Project","CT",1377350,7,194
"Bridgeport Fuel Cell Park","CT",43260,0,0
"Bridgeport Gas Processing Plant","TX",28486,0,681
"Bridgeport Station","CT",396569,316,232
"Bridgewater Dairy Anaerobic Digester","OH","--",0,181
"Bridgewater Power LP","NH",153,18,21
"Bristol Myers Squibb Lawrenceville","NJ",23855,0,66
"Bristol Myers Squibb New Brunswick","NJ",42249,0,113
"Bristol Plant","VA",390,1,120
"Broad Mountain","PA","--",1,129
"Broad River Energy Center","SC",1176027,6,354
"Broadridge Cogen","CA",6631,0,152
"Broadway (IN)","IN",5430,0,11
