"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Boise Cascade Pulp & Paper Mill","AL",152647,1338,426
"Bonanza","UT",3214128,1068,5978
"Boomer Lake Station","OK",135,0,1
"Borger Plant","TX",7540,9,246
"Bos Dairy, LLC","IN","--",0,61
"Bosque County Peaking","TX",640870,3,144
"Bostic Delivery No 2","NC",0,0,0
"Bottle Rock Power","CA",2263,"--","--"
"Boulder Park","WA",4876,0,113
"Boulevard","GA",515,0,1
"Bountiful City","UT",119,0,1
"Bowater Newsprint Calhoun Operation","TN",152859,3528,209
"Bowen","GA",14216846,5342,7591
"Bowline Point","NY",137212,1,145
"Bowling Green","OH",120,0,2
"Bowling Green Generating Station","OH",1853,0,1
"Bowling Green Peaking","OH",1448,0,2
"Boydton Plank Road Cogen Plant","VA",243,0,5
"Bradley Gas Recovery","CA","--",0,555
"Brady","NV",1829,"--","--"
"Brainerd Public Utilities","MN",831,6,5
"Brame Energy Center","LA",7002255,11565,3923
"Brandon Shores","MD",6006932,2567,4375
"Brandon Station","TX",49254,0,129
"Brandy Branch","FL",1236220,6,93
"Brandywine Power Facility","MD",255350,2,65
"Branford","CT",254,0,1
"Brayton Point","MA",3258715,16918,2392
"Breese","IL",224,0,4
"Bremo Bluff","VA",825422,5879,1705
"Brent Run Generating Station","MI","--",0,230
"Brentwood","NY",36955,0,3
"Brickyard Energy Partners LLC","IL","--",0,324
"Bridge Street 1 & 2","CT",371,2,1
"Bridgeport Energy Project","CT",1080354,6,158
"Bridgeport Gas Processing Plant","TX",28481,0,748
"Bridgeport Station","CT",535730,466,339
"Bridgewater Dairy Anaerobic Digester","OH","--",0,9
"Bridgewater Power LP","NH",141,27,46
"Bristol Myers Squibb New Brunswick","NJ",34013,0,93
"Broad Mountain","PA","--",0,100
"Broad River Energy Center","SC",433199,2,143
"Broadridge Cogen","CA",4736,0,127
"Broadway (CA)","CA",28630,0,5
"Broadway (IN)","IN",10632,0,19
"Broken Bow","NE",131,0,3
"Bronx Zoo","NY",14061,0,302
"Brookhaven Facility","NY","--",0,74
"Brooklyn City North Plant","IA",9,0,0
"Brooklyn Navy Yard Cogeneration","NY",1132463,5,68
"Brown Station Road Plant I","MD","--",0,105
"Brown Station Road Plant II","MD",12,0,342
"Brownsville Peaking Power","TN",153464,1,91
"Brunner Island","PA",8594955,16017,15320
"Brunot Island","PA",3809,0,2
"Brunswick","NV",33,0,1
"Brunswick Cellulose","GA",84969,5393,1599
"Brunswick Landfill Gas","VA",467,0,85
"Brush Generation Facility","CO",52354,0,26
"Bryan (OH)","OH",568,0,2
"Bryan (TX)","TX",1966,0,6
"Bryan Peaking","OH",272,0,5
"Bryon Center","MI","--",0,227
"Buchanan Generation LLC","VA",18950,0,12
"Buckeye Florida LP","FL",70215,7584,3320
"Bucknell University","PA",29379,0,79
"Bucksport Generation LLC","ME",792890,3,180
"Bull Run","TN",2409853,517,827
"Bunge North America East LLC","IN",97049,720,555
"Bunge Oil","IL",12658,0,35
"Buras","LA",19278,0,53
"Burlingame","KS",150,0,3
"Burlington (CO)","CO",4039,0,23
"Burlington (IA)","IA",1260342,3898,964
"Burlington (KS)","KS",145,0,3
"Burlington GT","VT",316,1,1
"Burney Forest Products","CA",5924,29,189
"Burwell","NE",20,0,0
"Bushnell","IL",62,0,1
"Butler Municipal Power Plant","MO",88,0,2
"Butler-Warner Generation Plant","NC",30278,0,40
"Buxton","NC",1651,0,33
"Buzzard Point","DC",6802,0,37
"Buzzard Roost","SC",568,0,2
"C D McIntosh Jr","FL",2243367,3860,1466
"C P Kelco San Diego Plant","CA",54473,0,151
"C R Huntley Generating Station","NY",1458365,3915,1116
"C R Wing Cogen Plant","TX",77589,0,98
"C W Burdick","NE",1603,0,0
"CC Perry K","IN",376599,0,738
"CCCSD Wastewater Treatment Plnt","CA",18906,0,53
"CE Leathers","CA",9120,"--","--"
"CE Turbo LLC","CA",1955,"--","--"
"CF Industries Yazoo City Complex","MS",106585,0,271
"CH Resources Beaver Falls","NY",1748,0,1
"CH Resources Syracuse","NY",4435,0,9
"CID Gas Recovery","IL","--",0,49
"CII Carbon LLC","LA",205482,4691,661
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",30542,0,85
"CITGO Refinery Powerhouse","LA",821754,4,766
"CNN Center","GA",159,0,3
"CP Crane Power, LLC","MD",1082487,5154,2266
"CPI USA NC Roxboro","NC",103279,877,281
"CPI USA NC Southport","NC",273876,2227,770
"CSL Behring LLC","IL",26739,0,74
"CSL Gas Recovery","FL","--",1,134
"CSU East Bay","CA",1712,0,0
"CSUCI Site Authority","CA",106113,1,282
"CT Resource Rec Authority Facility","CT",306429,26,1080
"Cabot Holyoke","MA","--",0,0
"Cadillac Renewable Energy","MI","--",69,202
"Caithness Long Island Energy Center","NY",867878,4,44
"CalPeak Power Border Peaker Plant","CA",16478,0,1
"CalPeak Power Enterprise Peaker Plant","CA",24031,0,2
"CalPeak Power Panoche Peaker Plant","CA",7495,0,1
"CalPeak Power Vaca Dixon Peaker Plant","CA",8079,0,1
"Calabasas Gas to Energy Facility","CA","--",1,140
"Calcasieu","LA",185710,1,142
"Caledonia","MS",1444256,7,132
"Calhoun Energy Center","AL",126889,1,42
"California Institute of Technology","CA",48809,0,137
"Calistoga Power Plant","CA",13418,"--","--"
"Caltech Central","CA",769,0,0
"Calumet Energy Team LLC","IL",19832,0,13
"Calvert City","KY",214972,1,67
"Cambria Cogen","PA",827953,1762,648
"Cambridge","NE",28,0,0
"Cambridge CT","MN",33069,0,21
"Camden Plant Holdings LLC","NJ",89626,0,29
"Camden Resource Recovery Facility","NJ",124975,12,476
"Camden South Carolina","SC",10862,27,10
"Campbell Industrial Park","HI","--",244,30
"Campbell Village","NE",0,0,0
"Cana Gas Processing Plant","OK",95,0,2
"Canaday","NE",2676,6,5
"Canadys Steam","SC",1484718,14181,2408
"Canal","MA",51875,116,31
"Cane Island","FL",557622,4,69
"Cane Run","KY",3246694,7098,5076
"Cannon Falls Energy Center","MN",59976,0,15
"Canton North Carolina","NC",985559,9498,897
"Canyon Power Plant","CA",19662,0,6
"Cape Fear","NC",1252015,7353,1952
"Cape Gas Turbine","ME",776,0,4
"Capitol District Energy Center","CT",3106,0,3
"Capitol Heat and Power","WI",14735,0,35
"Carbon","UT",1375805,7021,3328
"Carbon Limestone","OH","--",0,854
"Cardinal","OH",7588717,22784,2027
"Cardinal Cogen","CA",236824,1,638
"Cargill B6 Biofactory","ID","--",0,4
"Cargill Corn Milling Division","IA",545381,1490,540
"Cargill Corn Wet Milling Plant","TN",274361,2240,8
"Cargill Dry Creek Biofactory","ID","--",0,263
"Cargill Salt","MI",70633,499,395
"Caribou Generation Station","ME",11,0,0
"Carl Bailey","AR",45206,33,84
"Carleton College","MN","--",0,0
"Carlls Corner","NJ",11965,0,116
"Carlsbad","NM",6296,0,17
"Carlyle","IL",204,0,4
"Carmi","IL",103,0,2
"Carr Street Generating Station","NY",9907,0,2
"Carrollton","MO",382,0,7
"Carson Cogeneration","CA",189039,1,13
"Carson Ice-Gen Project","CA",144335,1,11
"Carthage","MO",2219,0,58
"Carthage Energy LLC","NY",3391,0,4
"Carville Energy LLC","LA",1014737,5,265
"Cascade","IA",59,0,1
"Cascade Creek","MN",2964,0,2
"Casey City of","IL",57,0,1
"Cashton","WI",3,0,0
"Cass County","NE",38143,0,21
"Castleton Energy Center","NY",43293,0,30
"Catalyst Paper Snowflake Mill","AZ",661780,277,989
"Catawba River Pollution Control","NC",55,0,1
"Caterpillar","IN",11754,0,259
"Catskill Mts Energy Corporation","NY","--",0,34
"Cayuga","IN",5424837,2990,7487
"Cayuga Operating Company","NY",1135983,9519,1658
"Cecil Lynch","AR",85542,0,206
"Cedar Bay Generating Company LP","FL",1755445,1248,1445
"Cedar Bayou","TX",1142374,6,474
"Cedar Bayou 4","TX",118440,1,13
"Cedar Hills","WA",764,0,95
"Cedar Station","NJ",1997,0,33
