"","state_and_county_fips_code","county_name","sector","NOX","PM10-PRI","PM25-PRI","SO2"
"781",21053,"Clinton","Fires - Wildfires",3.683273,19.664326,16.664697,1.737533
"782",21055,"Crittenden","Fires - Wildfires",1.320316,6.866108,5.818743,0.615995
"783",21057,"Cumberland","Fires - Wildfires",5.339285,30.158271,25.557857,2.580452
"784",21059,"Daviess","Fires - Wildfires",2.810153,15.872768,13.451514,1.358128
"785",21061,"Edmonson","Fires - Wildfires",0.109329,0.439719,0.372653,0.046206
"786",21063,"Elliott","Fires - Wildfires",3.421097,18.398888,15.592282,1.618912
"787",21065,"Estill","Fires - Wildfires",4.534591,25.511733,21.620139,2.187767
"788",21067,"Fayette","Fires - Wildfires",1.392572,7.156293,6.064667,0.64654
"789",21069,"Fleming","Fires - Wildfires",0.571945,2.939195,2.490832,0.265544
"790",21071,"Floyd","Fires - Wildfires",98.596015,556.90738,471.955528,47.651409
"791",21075,"Fulton","Fires - Wildfires",0.082495,0.417095,0.353481,0.038048
"792",21077,"Gallatin","Fires - Wildfires",2.238049,11.501192,9.746772,1.03907
"793",21083,"Graves","Fires - Wildfires",4.11587,23.957959,20.303362,2.015698
"794",21085,"Grayson","Fires - Wildfires",1.681749,8.71891,7.388891,0.783678
"795",21087,"Green","Fires - Wildfires",0.647734,2.602684,2.205683,0.273645
"796",21089,"Greenup","Fires - Wildfires",17.085281,92.640218,78.508622,8.113053
"797",21093,"Hardin","Fires - Wildfires",0.404991,2.072425,1.75627,0.18769
"798",21095,"Harlan","Fires - Wildfires",61.278257,335.91238,284.671587,29.234533
"799",21099,"Hart","Fires - Wildfires",0.283907,1.110252,0.940889,0.118791
"800",21101,"Henderson","Fires - Wildfires",1.186629,5.971736,5.060797,0.546233
"801",21105,"Hickman","Fires - Wildfires",0.072884,0.606318,0.513834,0.042498
"802",21107,"Hopkins","Fires - Wildfires",11.836787,60.828494,51.549559,5.495584
"803",21109,"Jackson","Fires - Wildfires",6.534077,34.143644,28.935183,3.054731
"804",21115,"Johnson","Fires - Wildfires",35.90267,202.449485,171.56738,17.338953
"805",21119,"Knott","Fires - Wildfires",36.667774,211.980136,179.644238,17.903192
"806",21121,"Knox","Fires - Wildfires",157.256823,887.915738,752.470928,75.989786
"807",21123,"Larue","Fires - Wildfires",0.481734,2.721045,2.305962,0.232835
"808",21125,"Laurel","Fires - Wildfires",25.513444,135.793121,115.078868,12.020139
"809",21127,"Lawrence","Fires - Wildfires",29.793918,164.964408,139.800401,14.275341
"810",21129,"Lee","Fires - Wildfires",16.943497,95.383628,80.833639,8.176809
"811",21131,"Leslie","Fires - Wildfires",83.349825,470.790695,398.975134,40.282907
"812",21133,"Letcher","Fires - Wildfires",52.249855,294.649656,249.703227,25.234433
"813",21135,"Lewis","Fires - Wildfires",6.590587,34.768622,29.464913,3.093504
"814",21139,"Livingston","Fires - Wildfires",0.65192,3.656886,3.099041,0.314137
"815",21143,"Lyon","Fires - Wildfires",0.021287,0.08326,0.070563,0.008911
"816",21145,"McCracken","Fires - Wildfires",0.600626,3.114636,2.63951,0.279897
"817",21147,"McCreary","Fires - Wildfires",47.318621,260.037664,220.370904,22.598939
"818",21151,"Madison","Fires - Wildfires",0.428077,1.813559,1.536907,0.184331
"819",21153,"Magoffin","Fires - Wildfires",59.024394,328.906998,278.734762,28.35903
"820",21155,"Marion","Fires - Wildfires",1.654662,7.865825,6.665947,0.744432
"821",21157,"Marshall","Fires - Wildfires",0.063958,0.320025,0.271214,0.029364
"822",21159,"Martin","Fires - Wildfires",54.279474,307.727459,260.785835,26.275663
"823",21165,"Menifee","Fires - Wildfires",1.382665,7.391683,6.264112,0.652655
"824",21169,"Metcalfe","Fires - Wildfires",2.640857,14.694403,12.452875,1.268045
"825",21171,"Monroe","Fires - Wildfires",0.361324,2.040792,1.729471,0.174642
